    Nr. (ges.)  Nr. (St.)                       Deutscher Titel                  Original­titel Erstaus­strahlung (USA) Deutsch­sprachige Erstaus­strahlung (D)
0          249          1           D-D-Der G-G-Geister D-D-Dad          Treehouse of Horror XI            1. Nov. 2000                           29. Okt. 2001
1          250          2  Die Geschichte der zwei Springfields      A Tale of Two Springfields            5. Nov. 2000                           24. Sep. 2001
2          251          3                     O mein Clown Papa              Insane Clown Poppy           12. Nov. 2000                            1. Okt. 2001
3          252          4              Lisa als Baumliebhaberin            Lisa the Tree Hugger           19. Nov. 2000                            8. Okt. 2001
4          253          5      Homer und das Geschenk der Würde               Homer vs. Dignity           26. Nov. 2000                           15. Okt. 2001
5          254          6          Mr. X und der Website-Schund  The Computer Wore Menace Shoes            3. Dez. 2000                            5. Nov. 2001
6          255          7                Das große Geldabzocken           The Great Money Caper           10. Dez. 2000                           12. Nov. 2001
7          256          8     Rektor Skinners Gespür für Schnee         Skinner’s Sense of Snow           17. Dez. 2000                           17. Dez. 2001
8          257          9    Der berüchtigte Kleinhirn-Malstift                            HOMЯ            7. Jan. 2001                           22. Okt. 2001
9          258         10         Jack und der Rückgratzylinder                       Pokey Mom           14. Jan. 2001                           26. Nov. 2001
10         259         11    Die schlechteste Episode überhaupt              Worst Episode Ever            4. Feb. 2001                            3. Dez. 2001
11         260         12                      Tennis mit Venus               Tennis the Menace           11. Feb. 2001                           10. Dez. 2001
12         261         13      Hallo, du kleiner Hypnose-Mörder           Day of the Jackanapes           18. Feb. 2001                           19. Nov. 2001
13         262         14          Die sensationelle Pop-Gruppe          New Kids on the Blecch           25. Feb. 2001                           18. Feb. 2002
14         263         15          Der hungrige, hungrige Homer            Hungry, Hungry Homer            4. März 2001                            7. Jan. 2002
15         264         16            Lisa knackt den Rowdy-Code                  Bye Bye Nerdie           11. März 2001                           14. Jan. 2002
16         265         17                  Die Sippe auf Safari                  Simpson Safari            1. Apr. 2001                           21. Jan. 2002
17         266         18         Trilogie derselben Geschichte                Trilogy of Error           29. Apr. 2001                           28. Jan. 2002
18         267         19           Wunder gibt es immer wieder         I’m Goin’ to Praiseland             6. Mai 2001                            4. Feb. 2002
19         268         20       Der Schwindler und seine Kinder       Children of a Lesser Clod            13. Mai 2001                           11. Feb. 2002
20         269         21         Drei unglaubliche Geschichten             Simpsons Tall Tales            20. Mai 2001                           18. Feb. 2002
