    Nr. (ges.)  Nr. (St.)  ...                              Regie          Drehbuch
0          575          1  ...                     Matthew Nastuk  J. Stewart Burns
1          576          2  ...                     Timothy Bailey     Joel H. Cohen
2          577          3  ...                         Rob Oliver  J. Stewart Burns
3          578          4  ...                   Mike B. Anderson     Carolyn Omine
4          579          5  ...                  Steven Dean Moore     Joel H. Cohen
5          580          6  ...                   Matthew Faughnan      Rob LaZebnik
6          581          7  ...                       Bob Anderson  Stephanie Gillis
7          582          8  ...                  Steven Dean Moore    Michael Ferris
8          583          9  ...                         Rob Oliver       Dan Greaney
9          584         10  ...                     Chris Clements      Rob LaZebnik
10         585         11  ...                     Timothy Bailey     Joel H. Cohen
11         586         12  ...                       Bob Anderson     Michael Price
12         587         13  ...                      Mark Kirkland        John Frink
13         588         14  ...                     Matthew Nastuk     Carolyn Omine
14         589         15  ...                  Steven Dean Moore        Dan Vebber
15         590         16  ...  Matthew Faughnan & Chris Clements      Brian Kelley
16         591         17  ...                         Rob Oliver      Rob LaZebnik
17         592         18  ...                       Bob Anderson       Jeff Martin
18         593         19  ...                    Michael Polcino  J. Stewart Burns
19         594         20  ...                     Timothy Bailey     Bill Odenkirk
20         595         21  ...                     Matthew Nastuk        John Frink
21         596         22  ...                   Matthew Faughnan      Eric Horsted

[22 rows x 8 columns]
