    Nr. (ges.)  Nr. (St.)  ...              Regie                                     Drehbuch
0          597          1  ...     Matthew Nastuk                      Tom Gammill & Max Pross
1          598          2  ...       Lance Kramer                             J. Stewart Burns
2          599          3  ...         Rob Oliver                                    Dave King
3          600          4  ...  Steven Dean Moore                                Joel H. Cohen
4          601          5  ...    Michael Polcino                                Harry Shearer
5          602          6  ...   Matthew Faughnan                                  Matt Selman
6          603          7  ...       Bob Anderson  Dan Castellaneta, Deb Lacusta, Peter Tilden
7          604          8  ...  Steven Dean Moore                                     Ryan Koh
8          605          9  ...       Bob Anderson                                Bill Odenkirk
9          606         10  ...         Rob Oliver                               Jeff Westbrook
10         607         11  ...     Matthew Nastuk                                 Rob LaZebnik
11         608         12  ...     Chris Clements                                  Dan Greaney
12         609         13  ...     Timothy Bailey                    Dan Greaney & Matt Selman
13         610         14  ...      Mark Kirkland                                Michael Price
14         611         15  ...  Steven Dean Moore                                Ron Zimmerman
15         612         16  ...         Rob Oliver                               David M. Stern
16         613         17  ...     Chris Clements                                Joel H. Cohen
17         614         18  ...       Bob Anderson                                   Simon Rich
18         615         19  ...       Lance Kramer                               Jeff Westbrook
19         616         20  ...    Michael Polcino                                Carolyn Omine
20         617         21  ...     Matthew Nastuk                                  Jeff Martin
21         618         22  ...  Steven Dean Moore                             J. Stewart Burns

[22 rows x 8 columns]
